Word	uniqueID	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	WordNet Synonyms	Definition (from WordNet, Google, or Wikipedia)	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	Number of word meanings in list	Example image
beachball	beachball	n02814224	beachball%1:06:00::	beachball#1	beachball.n.01	beach_ball, beachball	large and light ball; for play at the seaside	0	1	15504.5	4.97	12					0	#N/A	toy	toy	toy, sports equipment	toy	1	https://imgur.com/GtcoSZp
bead	bead	n02815071	bead%1:06:00::	bead#1	bead.n.01	bead	a small ball with a hole through the middle	0	1	3746	4.9	2155	4436	0.92	5411	175	57	Noun		decoration		craft supply	1	https://imgur.com/8yuxweI
beaker	beaker	n02815834	beaker%1:06:01::	beaker#1	beaker.n.01	beaker	a flatbottomed jar made of glass or plastic; used for chemistry	0	1	13157.5	4.72	233	275	0.84	24109	133	22	Noun		container	container	laboratory equipment, scientific equipment	1	https://imgur.com/kM1l4Ib
bean	bean	n13136316	bean%1:20:02::	bean#2	bean.n.02	bean	any of various seeds or fruits that are beans or resemble beans	0	1	1241.5	5	6884	14996	0.91	2367	534	349	Noun	food	fruit	food	food, legume	1	https://imgur.com/4HlDswH
beanbag	beanbag	n02816656	beanbag%1:06:00::	beanbag#1	beanbag.n.01	beanbag	a small cloth bag filled with dried beans; thrown in games	0	1	12689	4.96	162	136	0.84	31357		26	Noun	furniture	container	furniture	furniture, chair	1	https://imgur.com/02G3MS9
beanie	beanie	n02816768	beanie%1:06:00::	beanie#1	beanie.n.01	beanie, beany	a small skullcap; formerly worn by schoolboys and college freshmen	0	0.93	14686.5	4.74	366	153	0.84	30089		78	Noun		clothing	clothing	hat	1	https://imgur.com/irZwSJ6
bear	bear	n02131653	bear%1:05:00::	bear#1	bear.n.01	bear	massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws	0	1	2638	4.88	15291	12194	0.94	2702	5799	2928	Noun	animal	animal	animal	animal	1	https://imgur.com/k9h6XCn
beard	beard	n05261566	beard%1:08:00::	beard#1	beard.n.01	beard, face_fungus, whiskers	the hair growing on the lower part of a man's face	0	1	2850.5	4.96	7363	5528	0.91	4734	937	643	Noun			body part	facial hair	1	https://imgur.com/h3ET2Zy
beaver	beaver	n02363005	beaver%1:05:00::	beaver#6	beaver.n.06	beaver	large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges	0	1	9153	4.68	2231	1140	0.9	12049	167	246	Noun	animal	animal	animal	animal	1	https://imgur.com/mIsOGno
bed	bed	n02818832	bed%1:06:00::	bed#1	bed.n.01	bed	a piece of furniture that provides a place to sleep	0	1	388.5	5	68872	60304	0.9	683	15896	9543	Noun	furniture	furniture	furniture	furniture, bedroom furniture	1	https://imgur.com/SjyWayW
bedpan	bedpan	n02821202	bedpan%1:06:00::	bedpan#1	bedpan.n.01	bedpan	a shallow vessel used by a bedridden patient for defecation and urination	0	1	12196	5	103	144	0.82	31023	14	48	Noun	medical equipment	container	medical equipment, container	medical equipment	1	https://imgur.com/csae8iA
bedpost	bedpost	n02821415	bedpost%1:06:00::	bedpost#1	bedpost.n.01	bedpost	any of 4 vertical supports at the corners of a bedstead	0	0.96	14338	4.79	139	144	0.84	30697	15	16	Noun	furniture			furniture, part of bed	1	https://imgur.com/S24lTAU
bee	bee	n02206856	bee%1:05:00::	bee#1	bee.n.01	bee	any of numerous hairy-bodied insects including social and solitary species	0	1	3457.5	4.88	4285	6342	0.92	4283	523	528	Noun	insect	animal, insect	animal, insect	insect	1	https://imgur.com/tTgssZk
beehive	beehive	n09218159	beehive%1:17:00::	beehive#2	beehive.n.02	beehive, hive	a structure that provides a natural habitation for bees; as in a hollow tree	0	1	9235	4.93	537	467	0.9	18754	78	44	Noun				insect habitat, animal habitat	1	https://imgur.com/blRjwaL
beer	beer	n07886849	beer%1:13:00::	beer#1	beer.n.01	beer	a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops	0	1	2216	4.88	23341	19349	0.93	1912	3316	3850	Noun		food, beverage	drink	alcoholic drink	1	https://imgur.com/RTfVVel
beet	beet	n07719839	beet%1:13:00::	beet#2	beet.n.02	beet, beetroot	round red root vegetable	0	1	6868.5	4.8	904	1689	0.91	9634	128	14	Noun	vegetable	vegetable	food, vegetable	vegetable, root vegetable	1	https://imgur.com/alHmsfy
beetle	beetle	n02164464	beetle%1:05:00::	beetle#1	beetle.n.01	beetle	insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings	0	1	5510	4.83	2059	2684	0.92	7311	271	105	Noun	insect	animal, insect	animal, insect	insect	1	https://imgur.com/koXp6LM
bell	bell	n02824448	bell%1:06:00::	bell#1	bell.n.01	bell	a hollow device made of metal that makes a ringing sound when struck	0	1	1783.5	4.96	22240	12421	0.94	2662	3398	2006	Noun	musical instrument		musical instrument	musical instrument	1	https://imgur.com/5I31RvP
bell pepper	bell_pepper	n07720875	bell_pepper%1:13:00::	bell_pepper#2	bell_pepper.n.02	bell_pepper	large bell-shaped sweet pepper in green or red or yellow or orange or black varieties	1	1	5002.5	4.97	1720					0	#N/A	vegetable	vegetable	food, vegetable	vegetable	1	https://imgur.com/LNQf0lS
belt	belt	n02827606	belt%1:06:00::	belt#2	belt.n.02	belt	a band to tie or buckle around the body (usually at the waist)	0	1	2223	4.9	14620	13826	0.95	2446	2148	1242	Noun	clothing accessory	clothing	clothing, clothing accessory	clothing accessory, fashion accessory	1	https://imgur.com/G4yoEyj
belt buckle	belt_buckle	n02828299	belt_buckle%1:06:00::	belt_buckle#1	belt_buckle.n.01	belt_buckle	the buckle used to fasten a belt	1	1	10594.5	4.92	324					0	#N/A	clothing accessory		clothing accessory	clothing accessory	1	https://imgur.com/BpWQA0R
bench	bench	n02828884	bench%1:06:00::	bench#1	bench.n.01	bench	a long seat for more than one person	0	1	2761.5	4.87	12913	11666	0.93	2799	2002	493	Noun	furniture	furniture	furniture	furniture, outdoor furniture, seat	1	https://imgur.com/qNQua51
berry	berry	n07742704	berry%1:13:00::	berry#1	berry.n.01	berry	any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves	0	1	3816.5	4.93	4322	3631	0.9	6178	471	178	Name	fruit	fruit	food, fruit	fruit	1	https://imgur.com/qAn0pOy
bib	bib	n02834295	bib%1:06:00::	bib#2	bib.n.02	bib	a napkin tied under the chin of a child while eating	0	1	11828	4.79	394	336	0.89	21721	93	25	Noun				baby supply	1	https://imgur.com/6BseEN5
bike	bike	n02834778	bike%1:06:00::	bike#2	bike.n.02	bicycle, bike, wheel, cycle	a wheeled vehicle that has two wheels and is moved by foot pedals	0	1	1106.5	5	17332	17306	0.87	2176	1806	1320	Noun	vehicle	container, vehicle	vehicle	vehicle	1	https://imgur.com/V4QWyjy
bikini	bikini	n02837789	bikini%1:06:00::	bikini#1	bikini.n.01	bikini, two-piece	a woman's very brief bathing suit	0	1	5482.5	4.96	1764	1516	0.9	10303		188	Noun		clothing	clothing	swimwear	1	https://imgur.com/a8wiUxv
bin	bin	n02839910	bin%1:06:00::	bin#1	bin.n.01	bin	a container; usually has a lid	0	1	4699.5	4.72	8434				1008	274	Noun	container	container	container	container	1	https://imgur.com/ZVeD8z2
binder	binder	n02840245	binder%1:06:01::	binder#3	binder.n.03	binder, ring-binder	holds loose papers or magazines	0	1	7405	4.89	1002	973	0.9	13092	208	39	Noun	office supply		office supply	office supply, school supply	1	https://imgur.com/E6NcvkD
binoculars	binoculars	n02841315	binoculars%1:06:00::	binoculars#1	binoculars.n.01	binoculars, field_glasses, opera_glasses	an optical instrument designed for simultaneous use by both eyes	0	1	3907	5	3372	2532	0.89	7740		80	Noun				visual aid	1	https://imgur.com/WDzFxAx
bird	bird	n01503061	bird%1:05:00::	bird#1	bird.n.01	bird	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	0	1	634.5	5	24032	34835	0.94	1123	3955	2318	Noun	animal	animal	animal, bird	animal, flying animal	1	https://imgur.com/9dcCSL9
birdbath	birdbath	n02843158	birdbath%1:06:00::	birdbath#1	birdbath.n.01	birdbath	an ornamental basin (usually in a garden) for birds to bathe in	0	1	12514	4.96	159	146	0.85	30498		10	Noun		container	home decor, container	garden accessory, garden decoration	1	https://imgur.com/xc1MRM6
birdcage	birdcage	n02843276	birdcage%1:06:00::	birdcage#1	birdcage.n.01	birdcage	a cage in which a bird can be kept	0	1	17029.5	4.64	151	81	0.81	37114		24	Noun			home decor, container	cage, pet supply, animal enclosure	1	https://imgur.com/r9mamhR
birdhouse	birdhouse	n02843684	birdhouse%1:06:00::	birdhouse#1	birdhouse.n.01	birdhouse	a shelter for birds	0	1	11160	4.96	163	236	0.83	25763		13	Noun			home decor	animal shelter, outdoor decoration, animal home	1	https://imgur.com/63Y8YHA
birthday cake	birthday_cake	n07629988	birthday_cake%1:13:00::	birthday_cake#1	birthday_cake.n.01	birthday_cake	decorated cake served at a birthday party	1	1	9418	4.93	438					0	#N/A	food, dessert		food, dessert	dessert, food	1	https://imgur.com/88HxpY8
biscuit	biscuit	n07693972	biscuit%1:13:00::	biscuit#1	biscuit.n.01	biscuit	small round bread leavened with baking-powder or soda	0	1	5099	4.9	1034	2207	0.92	8214	579	191	Noun	food	food	food	food, baked good	1	https://imgur.com/FldONB7
bison	bison	n02410509	bison%1:05:00::	bison#1	bison.n.01	bison	any of several large humped bovids having shaggy manes and large heads and short horns	0	1	8611.5	4.68	1824	1383	0.86	11093	50	17	Noun	animal	animal	animal	animal, mammal	1	https://imgur.com/dvddIto
blackberry	blackberry	n07744811	blackberry%1:13:00::	blackberry#1	blackberry.n.01	blackberry	large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus	0	1	6885	4.97	1880	856	0.89	14092		38	Noun	fruit	fruit	food, fruit	fruit	1	https://imgur.com/UNrHy4f
blanket	blanket	n02849154	blanket%1:06:00::	blanket#1	blanket.n.01	blanket, cover	bedding that keeps a person warm in bed	0	0.97	1751.5	5	8287	9385	0.91	3327	1138	662	Noun				bedding	1	https://imgur.com/TNFREDZ
blazer	blazer	n02850358	blazer%1:06:00::	blazer#1	blazer.n.01	blazer, sport_jacket, sport_coat, sports_jacket, sports_coat	lightweight single-breasted jacket; often striped in the colors of a club or school	0	1	8572.5	4.79	1551	940	0.91	13298	178	62	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/hdi5mJp
blender	blender	n02850732	blender%1:06:00::	blender#1	blender.n.01	blender, liquidizer, liquidiser	an electrically powered mixer with whirling blades that mix or chop or liquefy foods	0	1	4510	5	2694	1947	0.88	9075	71	85	Noun	kitchen appliance	kitchen utensil	electronic device, kitchen appliance	kitchen appliance	1	https://imgur.com/wRrTJRt
blimp	blimp	n02850950	blimp%1:06:00::	blimp#1	blimp.n.01	blimp, sausage balloon, sausage	a small nonrigid airship used for observation or as a barrage balloon	0	1	12860	4.76	275	270	0.86	24067		53	Noun		vehicle		aircraft, airship	1	https://imgur.com/zOwy2gd
blind	blind	n02851099	blind%1:06:00::	blind#3	blind.n.03	blind, screen	a protective covering that keeps things out or hinders sight	0	1	12970.5	4.03	750	1721	0.91	9499	3135	2337	Adjective				window covering	1	https://imgur.com/x0psn78
blinder	blinder	n04593629	blinder%1:06:00::	blinder#1	blinder.n.01	winker, blinker, blinder	blind consisting of a leather eyepatch sewn to the side of the halter that prevents a horse from seeing something on either side	0	0.92	20712	4.04	118				44	6	Adjective				horse equipment	1	https://imgur.com/q0BNrX4
blindfold	blindfold	n02851939	blindfold%1:06:00::	blindfold#1	blindfold.n.01	blindfold	a cloth used to cover the eyes	0	1	13669.5	4.57	414	367	0.89	20924	92	88	Noun				eyewear, eye cover	1	https://imgur.com/WA3Ikun
block	block	n02852523	block%1:06:00::	block#1	block.n.01	block	a solid piece of something (usually having flat rectangular sides)	0	1	5745.5	4.48	31440	28826	0.96	1318	4389	2067	Noun				wood, building equipment	1	https://imgur.com/QBK9vk8
blouse	blouse	n02854926	blouse%1:06:00::	blouse#1	blouse.n.01	blouse	a top worn by women	0	1	3775.5	4.96	3605	3258	0.88	6681	528	272	Noun	clothing	clothing	clothing	clothing, women's clothing	1	https://imgur.com/570GIZv
blower	blower	n02855089	blower%1:06:00::	blower#1	blower.n.01	blower	a device that produces a current of air	0	1	15050.5	4.07	558	731	0.89	15283	71	17	Noun	tool		electronic device, tool	tool, power tool	1	https://imgur.com/Wx5TAni
blowfish	blowfish	n02655020	blowfish%1:05:00::	blowfish#2	blowfish.n.02	puffer, pufferfish, blowfish, globefish	any of numerous marine fishes whose elongated spiny body can inflate itself with water or air to form a globe; several species contain a potent nerve poison; closely related to spiny puffers	0	0.96	15732	4.69	143	122	0.81	32724		31	Noun		animal	animal	fish	1	https://imgur.com/y44anOd
blowgun	blowgun	n02855253	blowgun%1:06:00::	blowgun#1	blowgun.n.01	blowgun, blowpipe, blowtube, blow_tube	a tube through which darts can be shot by blowing	0	0.89	16841.5	4.83	22	22	0.62	58328	3	3	Noun	weapon		weapon	weapon	1	https://imgur.com/g1CwtVZ
blowtorch	blowtorch	n02855390	blowtorch%1:06:00::	blowtorch#1	blowtorch.n.01	blowtorch, torch, blowlamp	a burner that mixes air and gas to produce a very hot flame	0	1	13349	4.93	136	114	0.86	32893	19	43	Noun	tool		weapon, tool	tool	1	https://imgur.com/BagTUzS
blueberry	blueberry	n07743544	blueberry%1:13:00::	blueberry#2	blueberry.n.02	blueberry	sweet edible dark-blue berries of either low-growing or high-growing blueberry plants	0	1	5200.5	4.96	1208	1697	0.89	9692		131	Noun	fruit	fruit	food, fruit	fruit, berry	1	https://imgur.com/wbTBUbP
boa	boa	n03325584	boa%1:06:00::	boa#1	boa.n.01	feather_boa, boa	a long thin fluffy scarf of feathers or fur	0	0.93	10209.5	4.92	451	362	0.9	20941	55	66	Noun	clothing accessory	clothing	clothing, clothing accessory	clothing accessory, fashion accessory	1	https://imgur.com/vZOAQ39
boar	boar	n02396427	boar%1:05:02::	boar#1	boar.n.01	wild_boar, boar, Sus_scrofa	Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States	0	1	8828	4.8	885	822	0.85	14674	392	111	Noun	animal	animal	animal	animal	1	https://imgur.com/EaYpyy9
board	board					board	a thin, flat, rectangular piece of wood or other stiff material used for various purposes	0	0.97	4681.5	4.57	64674	58436	0.95	667	13828	3272	Noun				building material, wood	1	https://imgur.com/CCbErrl
board game	board_game	n00502415	board_game%1:04:00::	board_game#1	board_game.n.01	board_game	a game played on a specially designed board	1	1	13519.5	4.61	347					0	#N/A				game, entertainment	1	https://imgur.com/eBVAaKv
boat	boat	n02858304	boat%1:06:00::	boat#1	boat.n.01	boat	a small vessel for travel on water	0	1	1288	4.93	30501	32079	0.93	1235	5405	4885	Noun		vehicle	vehicle	watercraft	1	https://imgur.com/HIpYVB5
bobsled	bobsled	n02860847	bob%1:06:02::	bob#3	bob.n.03	bobsled, bobsleigh, bob	a long racing sled (for 2 or more people) with a steering mechanism	0	1	15980.5	4.9	23				3	48	Adjective	sports equipment	vehicle	sports equipment	sports equipment	1	https://imgur.com/7dzEJvV
bok choy	bok_choy	n11879054	bok_choy%1:20:00::	bok_choy#1	bok_choy.n.01	bok_choy, bok_choi, pakchoi, pak_choi, Chinese_white_cabbage, Brassica_rapa_chinensis	Asiatic plant grown for its cluster of edible white stalks with dark green leaves	1	0.9	10177	4.93	347					0	#N/A	vegetable	plant	plant, food, vegetable	vegetable	1	https://imgur.com/R983Is4
bolo tie	bolo_tie	n02865351	bolo%1:06:01::	bolo#1	bolo.n.01	bolo_tie, bolo, bola_tie, bola	a cord fastened around the neck with an ornamental clasp and worn as a necktie	1	0.86	21305	4.24	39					0	#N/A	clothing accessory	clothing	clothing, clothing accessory	men's accessory, clothing accessory	1	https://imgur.com/8GkEG4h
bologna	bologna	n07676273	bologna%1:13:00::	bologna#1	bologna.n.01	bologna, Bologna_sausage	large smooth-textured smoked sausage of beef and veal and pork	0	1	11955.5	4.93	714	197	0.9	26847		99	Noun	food		food	food, deli meat	1	https://imgur.com/Z2n7WMR
bolt	bolt	n02865665	bolt%1:06:00::	bolt#6	bolt.n.06	bolt	a screw that screws into a nut to form a fastener	0	1	5990	4.67	4063	5148	0.92	4947	758	351	Noun				hardware	1	https://imgur.com/y1vo5Cz
bomb	bomb	n02866578	bomb%1:06:00::	bomb#1	bomb.n.01	bomb	an explosive device fused to explode under specific conditions	0	1	2704.5	4.84	15181	18284	0.93	2002	3034	2736	Noun	weapon		weapon	weapon	1	https://imgur.com/y9bemhX
bone	bone	n05269901	bone%1:08:00::	bone#1	bone.n.01	bone, os	rigid connective tissue that makes up the skeleton of vertebrates	0	1	1697	4.9	17757	26282	0.94	1447	2432	1329	Noun	body part	body part	body part	body part	1	https://imgur.com/sc3yWV5
bongo	bongo	n02869737	bongo%1:06:00::	bongo#1	bongo.n.01	bongo, bongo_drum	a small drum; played with the hands	0	0.93	14781	4.77	315	131	0.88	31246	58	137	Name	musical instrument	musical instrument	musical instrument	musical instrument, percussion instrument	1	https://imgur.com/u7lfI7W
bonnet	bonnet	n02869837	bonnet%1:06:00::	bonnet#1	bonnet.n.01	bonnet, poke_bonnet	a hat tied under the chin	0	1	7975	4.93	803	692	0.88	15718	413	95	Noun		clothing	clothing, clothing accessory	hat, head covering, headwear	1	https://imgur.com/8vP0qqh
bonsai	bonsai	n13111881	bonsai%1:20:00::	bonsai#1	bonsai.n.01	bonsai	a dwarfed ornamental tree or shrub grown in a tray or shallow pot	0	0.97	19329.5	4.03	267	210	0.79	27528	53	50	Noun	plant	plant	home decor, plant	tree, plant	1	https://imgur.com/5vpPu2F
book	book	n06410904	book%1:10:00::	book#1	book.n.01	book	a written work or composition that has been published (printed on pages bound together)	0	1	1091	4.9	138512	154013	0.98	241	24824	9026	Noun				printed material, literature	1	https://imgur.com/oWFOKtN
bookmark	bookmark	n02871147	bookmark%1:06:00::	bookmark#1	bookmark.n.01	bookmark, bookmarker	a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place	0	1	10595	4.9	246	335	0.84	22321	46	21	Noun				reading accessory	1	https://imgur.com/gvuaSjr
